id,title,body,category,priority
TK-0,Urgente: non va gestione note spese,"Buongiorno! Eccomi di nuovo, ho avuto un piccolo problema con l'inserimento delle note spese nel sistema. Non riesco a caricare i documenti richiesti per il mese scorso e sono in attesa di chiarimenti su come procedere correttamente.",Amministrazione,Media
TK-1,Mancato funzionamento sistema di fatturazione,"Gentile supporto, vi contatto per un blocco totale del sistema di fatturazione. Non riesco a procedere con le attività commerciali senza questo servizio. Ho bisogno di una risoluzione immediata per riprendere il lavoro.",Commerciale,Alta
TK-2,Aiuto: Problemi di configurazione del server,"Salve, ho riscontrato un rallentamento nelle operazioni di scheduling del server. La latenza è aumentata del 15% nelle ultime ore e sto cercando la causa dell'anomalia. Potete indicarmi i log necessari per l'analisi della situazione?",Tecnico,Media
TK-3,Aiuto: Problemi con l'integrazione CRM,"Così non posso lavorare! Ho provato a configurare l'integrazione tra il nostro sistema e il CRM, ma mi dà un errore di handshake. Non so se è un problema di API o della configurazione del payload. Potete darmi una guida su dove guardare per risolvere questo mismatch?",Commerciale,Media
TK-4,Mancato funzionamento sistema CRM,"Buongiorno! Eccomi di nuovo, ho bisogno di sapere perché il sistema CRM non si connette da stamattina e devo fare le vendite subito. Questo mi sta bloccando completamente l'attività commerciale.",Commerciale,Alta
TK-5,Procedura per ripristino del servizio VPN bloccato,Buongiorno. Ho riscontrato un blocco totale delle attività dovuto a un'interruzione del servizio VPN. Non riesco ad accedere alle risorse necessarie e l'operatività è completamente sospesa. Richiedo assistenza immediata per ripristinare la connettività.,Tecnico,Alta
TK-6,Mancato funzionamento report mensile,Ho un problema: Il report mensile non si sta generando correttamente. Ho controllato i parametri di connessione ma l'output risulta incompleto. Potete indicarmi dove devo intervenire per risolvere questo rallentamento del processo?,Commerciale,Media
TK-7,Richiesta chiarimenti sulla riconciliazione spese mensili,Creo questo ticket per mi sono perso un po' nelle voci di riconciliazione delle spese del mese scorso. Non riesco a capire dove sia andata la differenza tra il budget previsto e quello effettivo. Mi serve solo una spiegazione su come funziona il report.,Amministrazione,Media
TK-8,Non va la connessione VPN,"Ciao, sto avendo qualche anomalia con la configurazione della VPN. Il tunnel si interrompe a intervalli regolari e non riesco a stabilire una connessione stabile. Mi serve un aiuto per capire dove sta il problema.",Tecnico,Media
TK-9,Problema con la configurazione del server,"Ciao, ho un problema con la configurazione del server. Il servizio rallenta molto e non riesco a completare le operazioni necessarie. Potete darmi una mano per capire cosa non va?",Tecnico,Media
TK-10,Procedura per debug del server,Vi scrivo perché ho riscontrato delle anomalie nella latenza di connessione del database. Ho bisogno di una guida su come eseguire un monitoraggio approfondito dei thread attivi per identificare la causa del rallentamento.,Tecnico,Media
TK-11,Errore gestione spese,"Non volevo proprio dirlo, ma ho un problema con la gestione delle mie spese. Non so come inserire i dati nel sistema di amministrazione. Potete darmi una guida su come fare questo passaggio?",Amministrazione,Bassa
TK-12,Mancato funzionamento sistema fatturazione,Da stamattina sto provando a generare le note spese ma il sistema non si apre. Non riesco a procedere con le attività amministrative e sono bloccato.,Amministrazione,Alta
TK-13,Potete dare un occhiata a come faccio la riconciliazione dei dati,"Ciao, sto cercando di fare la riconciliazione dei dati ma non so dove trovare la sezione giusta. Ho bisogno di sapere come procedere per il primo utilizzo.",Amministrazione,Media
TK-14,Procedura per riconfigurazione del server,Vi scrivo perché ho difficoltà a configurare correttamente i parametri di rete sul nuovo server. Sto riscontrando anomalie nel routing e non riesco a stabilire la connessione esterna. Potete darmi una guida passo passo su come procedere con la riconfigurazione fisica delle impostazioni IP?,Tecnico,Media
