id,title,body,Categoria_Prevista,Priorita_Prevista
TK-001,Sistema offline e blocco totale,Il server principale è andato in crash. Nessuno riesce ad accedere ai gestionali e la produzione è completamente ferma. Serve intervento urgente.,tecnico,alta
TK-002,Problema approvazione nuovo accordo,Il portale partner non mi permette di validare lo sconto per il rinnovo del cliente VIP. Potete verificare se c'è un bug nel sistema?,amministrazione,media
TK-003,Modulistica per note spese,Quando avete un attimo di tempo mi mandereste il nuovo modulo aggiornato per i rimborsi chilometrici? Nessuna fretta grazie.,amministrazione,bassa
TK-004,Connessione Wi-Fi instabile,Il router del terzo piano è instabile da questa mattina. La rete va e viene e il ping è altissimo.,tecnico,media
TK-005,Errore grave nel portale stipendi,Il software di calcolo delle paghe si chiude improvvisamente da solo. È bloccante dobbiamo assolutamente emettere i bonifici entro stasera!,commerciale,media
TK-006,Nuove brochure e listini,Vorrei ricevere i PDF aggiornati con il listino prezzi di quest'anno per inviarli a un potenziale acquirente per la fiera.,commerciale,bassa
TK-007,Il pc si spegne da solo,Non si può lavorare così! Il portatile fa una schermata blu e si riavvia perdendo tutto il lavoro. È un problema critico cambiatemi subito la macchina.,tecnico,alta
TK-008,Ritardo pagamento fornitore,Ho notato che il bonifico verso lo studio esterno risulta ancora in sospeso nel sistema bancario. Potete sollecitare il rilascio dei fondi?,amministrazione,media
TK-009,Integrazione CRM non funzionante,L'aggiornamento automatico dei lead dal sito al nostro database si è interrotto. Rischiamo di perdere contatti caldi risolvete appena possibile.,commerciale,alta
TK-010,Stampante inceppata,La stampante condivisa in corridoio segnala un errore sul toner. Quando passate potreste dargli un'occhiata?,tecnico,bassa
