id,title,body,category,priority
TK-0,Avrei bisogno di un controllo su fatturazione urgente,Sono estremamente frustrato perché non riesco ad accedere ai dati commerciali necessari per la mia attività. Ho bisogno che questo problema venga risolto immediatamente.,Commerciale,Alta
TK-1,EMERGENZA: Problemi con l'upload delle fatture,Non riesco a caricare le fatture nel sistema amministrativo. L'interfaccia è bloccata e non ricevo feedback. Questo sta rallentando i processi di chiusura mensile.,Amministrazione,Media
TK-2,EMERGENZA: Blocco fatturazione commerciale,Impossibile procedere con il lavoro a causa di un blocco totale nella generazione delle fatture commerciali. Non riesco ad accedere al modulo di emissione e il sistema è completamente inoperativo.,Commerciale,Alta
TK-3,Info per gestione spese,Ho bisogno di chiarimenti immediati sulla riconciliazione dei fondi del trimestre. Le attuali procedure amministrative non sono chiare e questo sta creando un intoppo operativo significativo.,Amministrazione,Media
TK-4,Bloccato su report commerciali di Q3,Non riesco ad accedere ai dati relativi ai report commerciali. Sono ex-utente di un sistema concorrente e ho bisogno di capire come sincronizzare correttamente i dati.,Commerciale,Bassa
TK-5,Procedura per reset del router,Non riesco a configurare la rete domestica. Il DHCP non funziona e sono frustrato perché questo disturbo continua a ostacolare il mio lavoro.,Tecnico,Bassa
TK-6,Info per risoluzione problema tecnico di routine,Ho un piccolo inconveniente con il sistema e avrei bisogno di una verifica generale. Potreste darmi una mano con una diagnosi semplice quando avete tempo libero.,Tecnico,Bassa
TK-7,Piccolo dubbio su configurazione server,Ho notato una piccola anomalia nella configurazione del server e vorrei un parere. Potete darmi una mano a verificare i parametri senza fretta? Sto cercando di ottimizzare le risorse.,Tecnico,Bassa
TK-8,Piccolo dubbio su licenza software,"Ho una domanda riguardo al processo di migrazione dei dati dal vecchio sistema al nuovo prodotto. Vorrei capire come gestite le eventuali incompatibilità tra i file di configurazione legacy e il nuovo framework.
Sono un ex utente di una soluzione concorrente e ho bisogno di chiarezza su questi aspetti tecnici.",Commerciale,Bassa
TK-9,Nota di aggiornamento su gestione licenze software,Ho un problema con l'aggiornamento delle licenze attuali e non riesco a procedere. Ho bisogno di una risoluzione urgente per evitare interruzioni operative.,Commerciale,Bassa
TK-10,Feedback su gestione licenze software,Ho un piccolo dubbio sulla configurazione delle licenze attuali. Credo di aver capito il processo ma non sono sicuro della corretta implementazione. Potreste verificare se c'è qualche dettaglio da ottimizzare.,Commerciale,Bassa
TK-11,Non si può andare avanti così! Problemi con l'export dati amministrativi urgenti,"Ho avuto problemi critici durante l'export dei dati amministrativi, come ho visto con il vecchio sistema concorrente. Mi serve una risoluzione immediata perché devo chiudere le fatture oggi stesso. Per favore, intervenite subito.",Amministrazione,Alta
TK-12,Richiesta chiarimenti sulla gestione fatture,"Riscontro un errore nel sistema quando provo a generare i report amministrativi. Non riesco a capire come procedere con la riconciliazione dei dati, è davvero frustrante.",Amministrazione,Media
TK-13,Non va gestione fatture,Ho un problema con l'elaborazione delle mie fatture recenti. Non riesco a visualizzare i dati corretti nel sistema di amministrazione. Ho bisogno di aiuto urgente per risolvere questo intoppo.,Amministrazione,Media
TK-14,Curiosità tecnica riguardo a configurazione rete base,Da stamattina sto provando a configurare il router ma non riesco a capire come impostare il DHCP. Ho bisogno di una guida semplice su come fare la prima connessione IP e i parametri base della rete.,Tecnico,Bassa
TK-15,Richiesta di supporto per negoziazione contratto commerciale,Ho bisogno di assistenza per finalizzare i termini della negoziazione commerciale in corso. Sto incontrando difficoltà nell'allineare le specifiche tecniche con le clausole economiche previste. Potete indicarmi la procedura corretta per procedere con l'approvazione del budget.,Commerciale,Media
TK-16,Problema con gestione fatture pendenti urgente,Ho riscontrato un blocco nella generazione dei report contabili mensili. Le transazioni non vengono correttamente aggregate nel sistema di reporting. Richiedo un intervento immediato per risolvere l'anomalia.,Amministrazione,Alta
TK-17,Curiosità tecnica riguardo a licenza software Bassa,Ho un piccolo problema con l'attivazione della mia licenza commerciale. Non riesco ad accedere al pannello di controllo per verificare lo stato dell'account. Potete aiutarmi a risolvere questo blocco?,Commerciale,Bassa
TK-18,Bloccato su gestione fatture,Sembra esserci un bug su come gestisco le operazioni amministrative. Ho difficoltà nell'accedere alle funzionalità necessarie per la gestione delle fatture correnti. Richiedo assistenza per risolvere questo problema.,Amministrazione,Media
TK-19,Segnalazione minore su licenza software,"Ho un problema con l'attivazione della licenza per il nostro servizio commerciale. Non riesco a fare il setup corretto sul lato backend.
Mi serve aiuto per capire dove si trova il bug di configurazione.",Commerciale,Bassa
TK-20,Info di routine per gestione ordini commerciali,Avrei bisogno di un controllo su come procedere con l'inserimento dei dati relativi a nuovi ordini commerciali. Sono un principiante e avrei bisogno di una guida passo passo per comprendere il workflow base della piattaforma.,Commerciale,Bassa
TK-21,EMERGENZA: Blocco sistema gestione fatture urgente,"Non so più che fare, il sistema di gestione fatture è completamente bloccato e non riesco ad accedere ai dati essenziali. Ho bisogno di una risoluzione immediata per poter procedere con le operazioni amministrative.",Amministrazione,Alta
TK-22,Non va la configurazione commerciale,Ho un problema con il primo utilizzo della piattaforma commerciale. Non riesco ad accedere o a completare le operazioni iniziali come previsto. Potete aiutarmi urgentemente a risolvere questo blocco.,Commerciale,Alta
TK-23,Nota di aggiornamento su stato del sistema,Ho notato un lieve drift nelle metriche di performance del server. Sto monitorando l'anomalia e non è attualmente critica. Vorrei solo segnalare il fatto per la vostra conoscenza.,Tecnico,Bassa
TK-24,Mancato funzionamento licenza software,"Quando capita, potreste dare un'occhiata al mio account per verificare lo stato della mia licenza. Ho bisogno di una verifica perché il funzionamento è interrotto ma non c'è nessuna urgenza.",Commerciale,Bassa
TK-25,Interruzione servizio su gestione dati amministrativi urgente,"Buongiorno, ho un blocco totale nell'accesso al sistema di amministrazione. I permessi sono scaduti e non riesco a eseguire le operazioni necessarie per la gestione dei dati.",Amministrazione,Alta
TK-26,Bloccato su negoziazioni commerciali a bassa priorità,Solo una richiesta di info su questo momento sto cercando di finalizzare alcune negoziazioni commerciali ma ho riscontrato un leggero rallentamento nel sistema. Vorrei capire come procedere senza compromettere i tempi. Grazie per l'aiuto.,Commerciale,Bassa
TK-27,BLOCCO TOTALE: Errore di connessione VPN urgente,Ho un blocco totale sulla connessione VPN. Il server non risponde e l'accesso è completamente interrotto. Richiedo intervento immediato per risolvere il problema.,Tecnico,Alta
TK-28,Domanda generica: Problema con la gestione documenti non urgente,"Ho bisogno di aiuto per sistemare un po' di documenti amministrativi. Non è una cosa urgente, ma mi serve una soluzione per l'organizzazione generale.",Amministrazione,Bassa
TK-29,Richiesta di supporto per configurazione rete lenta,Buongiorno. Ho problemi con la connessione internet e non riesco a scaricare i file. Non so come risolvere questo problema tecnico.,Tecnico,Media
TK-30,Errore gestione licenze software,Non riesco a attivare le mie licenze per il nuovo progetto. Mi aspettavo una soluzione immediata dato che sono un utente pigro e ho bisogno di una risposta media.,Commerciale,Media
TK-31,Problema con l'aggiornamento dei dati amministrativi,"Quando capita, potreste dare un'occhiata a questo problema di sincronizzazione del database. Ho difficoltà ad applicare le modifiche ai registri contabili. Sono frustrato perché il processo non funziona come dovrebbe.",Amministrazione,Bassa
TK-32,Richiesta info (non urgente): Problemi con l'input dati amministrativi,Vi scrivo perché non riesco a caricare i dati di fatturazione nel sistema. Il primo utilizzo è un disastro e devo capire come funziona la gestione dei flussi di lavoro base.,Amministrazione,Media
TK-33,Bloccato su gestione fatture,"Ho difficoltà a completare la procedura di gestione delle fatture. Non riesco ad accedere al modulo corretto per l'inserimento dei dati necessari. Per favore, aiutatemi a risolvere questo blocco.",Amministrazione,Media
TK-34,Interruzione servizio su fatturazione mensile urgente,Così non posso lavorare! Ho bisogno subito di accedere ai dati amministrativi perché la fatturazione è bloccata e devo completare le mie attività. Questo problema sta causando un serio ritardo nelle mie operazioni quotidiane.,Amministrazione,Alta
TK-35,Segnalazione minore su gestione licenze software,Volevo solo lasciarvi un feedback riguardo a un problema con l'allocazione delle licenze. Ho notato una discrepanza nel sistema di billing che richiede una verifica del contratto attuale. Vorrei capire come procedere per risolvere questa anomalia.,Commerciale,Bassa
TK-36,EMERGENZA: Problemi licenze software aziendali,"Ho bisogno di una risoluzione immediata riguardo alle licenze software aziendali attuali. Le configurazioni attuali non sono allineate con le nuove policy di gestione dei costi. Per favore, indicate la procedura per l'aggiornamento del sistema.",Commerciale,Media
TK-37,Richiesta urgente: Problemi con l'accesso ai dati amministrativi,Non riesco ad accedere ai report mensili. Ho tentato di fare il login ma ricevo un errore di autenticazione. Devo risolvere subito questa situazione.,Amministrazione,Alta
TK-38,Urgente: non va gestione fatture,"Buongiorno, ho un problema con la gestione delle fatture. Non riesco ad accedere ai dati necessari per il reporting amministrativo. Per favore, potete risolvere al più presto.",Amministrazione,Alta
TK-39,Bloccato su configurazione del server,"Quando avete tempo, sto riscontrando un problema con la configurazione del server. Non riesco ad applicare le modifiche previste e ho bisogno di assistenza per risolvere il blocco operativo.",Tecnico,Media
TK-40,Non va la fatturazione mensile,"Scusate il disturbo, ho riscontrato un errore nella generazione della fattura del mese scorso. Ho bisogno di una verifica immediata per assicurare la corretta allocazione dei costi commerciali. Potete fornirmi un aggiornamento sullo stato di risoluzione entro oggi pomeriggio?",Commerciale,Media
TK-41,Richiesta info (non urgente): Dati amministrativi generali,Vi scrivo perché ho bisogno di chiarimenti sui dati di amministrazione attuali. Vorrei sapere come accedere ai report standard senza complicazioni inutili.,Amministrazione,Bassa
TK-42,Bloccato su configurazione VPN,Ho bisogno di risolvere subito. Il tunnel IPsec non si stabilisce con le credenziali configurate e sto aspettando una risposta che mi fa perdere tempo prezioso.,Tecnico,Media
TK-43,Richiesta chiarimenti sulla licenza software,Non riesco a capire perché la licenza non si attiva correttamente. Ho bisogno di una spiegazione tecnica su come risolvere questo bug commerciale.,Commerciale,Bassa
TK-44,Assistenza immediata per crash del sistema,Non so più che fare. Il mio software ha smesso di funzionare improvvisamente dopo l'ultimo aggiornamento. Sono un ex utente di [Nome Software Concorrente] e non riesco a capire perché il sistema si blocchi continuamente.,Tecnico,Alta
TK-45,Richiesta urgente: Blocco gestione pagamenti amministrativi,"Mi serve supporto ora, sono fermo su un blocco totale nella gestione delle fatture e dei pagamenti. Non riesco accedere al sistema per completare le operazioni amministrative urgenti. Ho bisogno di una risoluzione immediata.",Amministrazione,Alta
TK-46,Anomalia riscontrata in fatturazione commerciale,Ho un po' di problemi con la visualizzazione dei dati sul mio account commerciale. Non riesco a capire come funziona il sistema di reporting per i miei ordini recenti. Potete darmi una spiegazione su come procedere.,Commerciale,Bassa
TK-47,Urgente: non va il servizio di autenticazione SSH,"Ho già provato a riavviare il server, ma l'accesso SSH continua a fallire. Ho verificato i log del sistema e sembra esserci un problema con la configurazione del firewall o dei permessi di accesso al servizio.",Tecnico,Alta
TK-48,Domanda generica: Problema con la configurazione del sistema,Ho difficoltà a configurare correttamente il sistema operativo su questo dispositivo. Non riesco ad accedere alle impostazioni necessarie per completare l'installazione. Potete indicarmi la procedura corretta da seguire.,Tecnico,Bassa
TK-49,Curiosità tecnica riguardo a negoziazione contratto commerciale,Ho un problema con il sistema di gestione dei flussi commerciali. Non riesco a visualizzare i dati di performance del Q3. Ho bisogno di sapere come agganciare le metriche per la reportistica finale.,Commerciale,Media
