id,title,body,category,priority,ticket_id
TK-0,Bloccato su configurazione prezzi per nuovi clienti,"Ho bisogno di fare una call riguardo alla struttura dei costi commerciali. Sto cercando di applicare le tariffe corrette ai nuovi contratti, ma il sistema mi blocca ogni volta che inserisco un volume superiore alle 500 unità. Potreste darmi indicazioni su come superare questo limite o se è necessaria una modifica al mio profilo utente? Grazie.",Commerciale,Media,tk0
TK-1,Chiarimento su come configurare meglio l'accesso al database,"Ho bisogno di fare una call su un piccolo problema che ho con il collegamento al DB. Non mi viene chiaro se devo usare le credenziali X o quelle Y per questo report specifico. Ci possiamo vedere quando sei libero, grazie.",Tecnico,Bassa,tk1
TK-2,Mancato funzionamento dell'accesso al portale clienti,"Ciao, ho bisogno di assistenza urgente con l'accesso al portale. Non riesco a superare la fase di autenticazione nonostante abbia verificato tutte le credenziali. Ho provato ad accedere stamattina per un preventivo e mi sono bloccato subito.",Commerciale,Alta,tk2
TK-3,Aiuto: Non trovo come fare a cambiare l'indirizzo di fatturazione,"Ciao! Scusa se ti disturbo. Volevo sapere dove posso modificare l'indirizzo che usate per le bollette, non ricordo più dov'è impostato. Grazie mille!",Amministrazione,Bassa,tk3
TK-4,Info per gestione note spese e rimborsi,"Gentile supporto, vi contatto perché non riesco a caricare correttamente le ricevute digitali nel sistema. Ho provato più volte ma ricevo sempre un messaggio di errore generico. Potreste indicarmi la procedura corretta o se c'è un problema tecnico con il portale?",Amministrazione,Bassa,tk4
TK-5,Mancato funzionamento del sistema di gestione pagamenti,"Da stamattina sto provando a fare un pagamento e continua a dare errore. Non capisco perché non funzioni se ho controllato tutti i dati. Mi serve una soluzione immediata, questo sta rallentando tutto il reparto.",Amministrazione,Media,tk5
TK-6,Non riesco ad accedere al sistema CRM,"Ho un problema: Non riesco a loggarmi sul sistema CRM da stamattina. Ho provato con la password corretta più volte, ma mi chiede sempre credenziali errate. Potreste verificare se ci sono problemi di rete o se il mio account è stato bloccato?",Tecnico,Alta,tk6
TK-7,Bloccato su non riesco ad accedere al report di vendita,"Da stamattina sto provando a caricare i dati del mese scorso ma mi dà sempre errore. Non capisco se è il formato o se c'è un problema col sistema, perché prima andava benissimo. Aiuto, per favore.",Tecnico,Media,tk7
TK-8,Non va l'accesso al portale amministrativo,"Buongiorno, non riesco ad accedere alla sezione pagamenti del portale. Ho provato con le credenziali abituali ma mi chiede sempre la password e non accetta nulla. Potreste verificare se ci sono problemi di sistema o se devo seguire una procedura diversa?",Amministrazione,Bassa,tk8
TK-9,Errore con l'accesso al sistema amministrativo,"Vorrei segnalare che non riesco a accedere alla sezione pagamenti online. Ho provato due volte e mi dà sempre un messaggio di errore generico. Potreste darmi una mano, per favore? Grazie mille!",Amministrazione,Alta,tk9
TK-10,Bloccato su approvazione spese viaggio,"Ho un problema: Devo inviare urgentemente una richiesta di rimborso per le spese sostenute durante il recente viaggio a Milano. Il sistema non mi permette di inoltrare la documentazione nonostante i dati siano stati inseriti correttamente. Potreste verificare l'accesso alla funzione o indicarmi la procedura alternativa più rapida? Grazie, sono Marco Rossi.",Amministrazione,Alta,tk10
TK-11,Errore con l'accesso ai documenti amministrativi,"Buongiorno, ho un problema a scaricare i file di bilancio dell'ultimo mese. Non trovo la sezione giusta nel portale e mi dà sempre errore 403 quando ci provo. Potete darmi una mano? Sono Marco Rossi.",Amministrazione,Media,tk11
TK-12,Bloccato su invio report mensile,"Ciao! Ho un problema con l'invio del report di questo mese, non mi carica proprio. Mi serve per domani mattina. Grazie mille!",Tecnico,Alta,tk12
TK-13,Aiuto: Revisione costi abbonamento annuale per cliente B2B,"Ho già provato a riavviare l'accesso al portale, ma non riesco ancora ad accedere alla sezione gestione contratti. Potrei avere bisogno di una verifica sui dettagli tariffari del nostro attuale piano aziendale.",Commerciale,Bassa,tk13
TK-14,Richiesta chiarimenti sulle condizioni di vendita e i costi nascosti,Buongiorno. Non capisco proprio come funziona questa transazione. Mi avete inviato un preventivo che non corrisponde a nulla di quanto avevamo concordato telefonicamente la settimana scorsa. Ho sprecato ore a cercare le clausole contrattuali perché sono troppo confuse. Serve una spiegazione chiara e immediata su cosa devo firmare esattamente.,Commerciale,Media,tk14
TK-15,Mancato funzionamento del modulo di approvazione spese,"Ho necessità di segnalare un problema relativo al sistema amministrativo. Non riesco ad inoltrare le richieste di rimborso per i viaggi aziendali, anche se ho controllato che tutti i campi obbligatori siano compilati correttamente. Potreste verificare la mia autorizzazione utente o l'integrità del modulo? Grazie.",Amministrazione,Media,tk15
TK-16,Bloccato su sincronizzazione dati tra ambienti dev/prod,"Potete dare un occhiata a questo? Ho notato che i parametri di configurazione non si stanno aggiornando correttamente dopo il push. Non è un blocco totale, ma sembra una discrepanza sui valori specifici. Grazie mille.",Tecnico,Bassa,tk16
TK-17,Aiuto: Problema con la configurazione dei prezzi per i nuovi clienti,"Vi scrivo perché riscontro un errore nella visualizzazione dei listini prezzi per le nuove attivazioni contrattuali. Nonostante l'ultimo aggiornamento del sistema, alcuni parametri tariffari non vengono applicati correttamente. Potreste verificare la corretta implementazione di queste variabili? Grazie.",Commerciale,Media,tk17
TK-18,Info per i costi di spedizione e pagamenti,"Buongiorno! Eccomi di nuovo. Volevo sapere se posso pagare via PayPal o solo con carta di credito. Ho provato a fare un ordine ma mi è saltata la schermata dei metodi di pagamento ed è stato un po' strano. Per favore, potreste darmi qualche dettaglio in più su questo? Grazie.",Commerciale,Media,tk18
TK-19,Info per accesso al database clienti dopo aggiornamento sistema,"Buongiorno, ho bisogno di assistenza urgente con l'accesso al database clienti. Dopo aver eseguito l'ultimo aggiornamento del sistema stamattina, non riesco più a autenticarmi correttamente e mi compare un errore 403. Ho già provato a cancellare la cache e riavviare il browser senza successo. Potreste verificare i permessi utente da remoto? Grazie.",Tecnico,Alta,tk19
TK-20,Procedura per l'accesso al nuovo modulo di gestione progetti,"Buongiorno. Sto riscontrando difficoltà nell'utilizzo del nuovo modulo di gestione progetti. Ho seguito tutti i passaggi indicati nella documentazione, ma il sistema continua a restituire un errore generico. Potreste fornirmi istruzioni più dettagliate o verificare se ci sono problemi lato server? Grazie.",Tecnico,Bassa,tk20
TK-21,Assistenza immediata per i crediti che non arrivano in fattura,"Non volevo proprio dirlo, ma ho problemi con le mie ultime fatture commerciali. Non mi risulta di aver ricevuto il saldo dei crediti concordati la scorsa settimana. Mi potete controllare quando arriva questo pagamento? Grazie.",Commerciale,Media,tk21
TK-22,Aiuto: Il sistema di reporting mi dà errori strani,"Buongiorno. Senta, ho un problema col report che devo mandare stamattina. Non mi carica i dati e continua a darmi degli errori random. Ho provato a riavviare tutto ma niente da fare. Grazie.",Tecnico,Alta,tk22
TK-23,Problema con l'accesso al sistema CRM,"Ho già provato a riavviare tutto e ho controllato le credenziali più volte. Non riesco proprio ad accedere al CRM, mi dà sempre errore 403. Devo finire questo report entro oggi pomeriggio, non capisco perché non funzioni.",Tecnico,Bassa,tk23
TK-24,Info per gestione spese viaggio,"Ho bisogno di fare una call su come procedere con l'inoltro delle note spese. Non sono sicuro della procedura corretta per allegare i documenti digitali al sistema. Potrebbe indicarmi quali passaggi devo seguire, per favore?",Amministrazione,Media,tk24
TK-25,Richiesta chiarimenti sulle condizioni contrattuali per l'espansione del servizio,"Ho un problema: non capisco proprio questi termini commerciali che mi avete mandato. Dato che sono già cliente da anni, avrei bisogno di una spiegazione molto più chiara su come funziona esattamente questo passaggio. Chiamatemi appena potete.",Commerciale,Alta,tk25
TK-26,Aiuto: Problemi di accesso al portale clienti dopo l'aggiornamento,"Dopo l'ultimo aggiornamento, non riesco proprio ad accedere al portale con le credenziali giuste. Mi blocca sempre e devo rifare tutto da capo. Serve un fix urgente su questo login.",Amministrazione,Alta,tk26
